FeedbackID,CustomerID,StoreID,Rating,ReviewText,FeedbackDate
1,5822,7,2,Could not find what I needed,2024-09-27
2,3958,21,2,Could not find what I needed,2023-04-23
3,7989,14,5,Helpful staff and healthy plants,2022-10-08
4,2387,15,5,Good prices during promotion,2024-07-13
5,9311,9,4,Loved the indoor plant variety,2024-04-07
6,8113,2,2,Long wait and limited stock,2022-07-09
7,307,1,4,Fast checkout and friendly advice,2025-06-03
8,14016,14,4,Loved the indoor plant variety,2024-09-14
9,8821,6,4,Helpful staff and healthy plants,2025-04-14
10,4584,10,4,Helpful staff and healthy plants,2025-12-01
11,2787,10,4,Fast checkout and friendly advice,2021-10-11
12,9111,19,4,Fast checkout and friendly advice,2022-04-08
13,7631,8,4,Loved the indoor plant variety,2022-06-27
14,2951,2,5,Loved the indoor plant variety,2021-04-10
15,887,17,4,Loved the indoor plant variety,2024-04-11
16,219,19,4,Great selection and clean store,2023-02-23
17,6744,8,3,Average product selection,2025-05-22
18,14235,16,4,Great selection and clean store,2024-06-25
19,9665,12,4,Loved the indoor plant variety,2022-12-02
20,11195,11,4,Good prices during promotion,2024-05-23
21,11102,2,4,Great selection and clean store,2021-01-15
22,6250,10,4,Helpful staff and healthy plants,2024-07-20
23,1939,2,5,Good prices during promotion,2023-07-17
24,7758,2,4,Great selection and clean store,2024-05-14
25,6806,17,4,Good prices during promotion,2025-11-26
26,5599,19,3,Decent experience overall,2022-11-02
27,12729,10,5,Good prices during promotion,2023-08-06
28,9601,10,3,Average product selection,2025-05-13
29,10625,11,4,Fast checkout and friendly advice,2023-02-21
30,13683,2,2,Could not find what I needed,2022-03-05
31,9650,13,4,Helpful staff and healthy plants,2023-02-22
32,8495,3,3,Prices were a bit high,2024-05-10
33,11980,24,3,Decent experience overall,2021-08-11
34,10628,15,4,Good prices during promotion,2024-05-27
35,5023,13,4,Good prices during promotion,2025-10-03
36,8775,9,5,Helpful staff and healthy plants,2022-12-09
37,10564,19,5,Good prices during promotion,2025-11-27
38,10869,24,4,Good prices during promotion,2021-10-18
39,6804,19,5,Helpful staff and healthy plants,2024-03-13
40,12204,8,4,Good prices during promotion,2025-09-04
41,9301,23,4,Loved the indoor plant variety,2023-04-14
42,11689,2,4,Good prices during promotion,2023-11-05
43,891,24,4,Great selection and clean store,2022-09-01
44,12220,2,3,Store was busy but okay,2024-03-13
45,8600,18,5,Loved the indoor plant variety,2022-08-26
46,4681,2,4,Great selection and clean store,2024-05-14
47,3732,1,4,Good prices during promotion,2025-07-23
48,8338,17,3,Average product selection,2021-04-05
49,8313,24,2,Competitor had better price,2022-08-17
50,2634,14,4,Great selection and clean store,2025-11-24
51,3026,10,4,Fast checkout and friendly advice,2024-05-03
52,13045,22,3,Average product selection,2024-04-10
53,6746,22,4,Loved the indoor plant variety,2023-03-15
54,14845,10,3,Some items were out of stock,2021-01-13
55,1339,22,4,Good prices during promotion,2022-06-15
56,8978,24,4,Loved the indoor plant variety,2021-06-21
57,5079,21,3,Decent experience overall,2025-07-28
58,8480,19,3,Decent experience overall,2022-04-27
59,4758,17,3,Average product selection,2021-02-11
60,6290,20,4,Helpful staff and healthy plants,2025-11-13
61,11153,11,4,Great selection and clean store,2022-04-18
62,7611,4,3,Prices were a bit high,2021-10-06
63,8153,17,5,Fast checkout and friendly advice,2021-12-05
64,2766,18,4,Great selection and clean store,2025-10-20
65,7154,7,4,Good prices during promotion,2022-05-16
66,7335,7,3,Store was busy but okay,2022-05-12
67,12421,23,3,Average product selection,2021-10-21
68,8867,4,4,Great selection and clean store,2022-01-25
69,12402,16,4,Good prices during promotion,2024-01-02
70,13650,10,3,Some items were out of stock,2022-12-08
71,634,9,4,Helpful staff and healthy plants,2024-10-21
72,10920,4,4,Helpful staff and healthy plants,2021-11-15
73,14510,21,4,Great selection and clean store,2023-07-20
74,5251,24,3,Some items were out of stock,2024-02-05
75,9354,11,4,Loved the indoor plant variety,2021-07-19
76,6992,3,5,Helpful staff and healthy plants,2024-04-15
77,11306,16,4,Fast checkout and friendly advice,2021-06-02
78,9730,21,4,Great selection and clean store,2023-08-04
79,4227,18,4,Good prices during promotion,2021-08-22
80,6379,3,5,Fast checkout and friendly advice,2021-04-16
