ProductID,ProductName,Category,SubCategory,Brand,CostPrice,SellingPrice,SupplierID,LaunchDate,DiscontinuedFlag
1,Premium Palm,Outdoor Plants,Shrubs,BloomCo,76.98,110.09,3,2019-10-03,No
2,Bloom Calathea,Indoor Plants,Tropical,UrbanLeaf,60.97,120.07,7,2023-05-07,No
3,Classic Pot,Gardening Tools,Hand Tools,GreenRoots,38.21,87.08,15,2019-01-15,No
4,Terra Ficus,Outdoor Plants,Herbs,GardenEase,74.86,167.0,15,2021-06-10,No
5,Sunny Basket,Garden Accessories,Stands,TerraHome,26.05,52.45,15,2020-05-04,Yes
6,Eco Soil,Gardening Tools,Protective Gear,RootCraft,18.68,37.07,5,2025-05-02,No
7,Sunny Soil,Gardening Tools,Protective Gear,GardenEase,62.38,123.96,5,2020-12-15,No
8,Fresh Ficus,Indoor Plants,Tropical,RootCraft,56.26,122.91,10,2020-07-05,No
9,Green Mulch,Garden Accessories,Stands,UrbanLeaf,19.18,30.68,2,2023-09-14,Yes
10,Premium Compost,Pots and Planters,Raised Beds,UrbanLeaf,4.91,10.25,6,2024-11-24,No
11,Urban Fertilizer,Pots and Planters,Hanging Baskets,UrbanLeaf,70.16,154.95,4,2021-08-12,No
12,Eco Hydrangea,Indoor Plants,Tropical,GreenRoots,35.35,78.28,13,2022-06-21,No
13,Terra Succulent,Indoor Plants,Tropical,BloomCo,59.63,139.15,1,2019-10-14,No
14,Urban Hydrangea,Outdoor Plants,Shrubs,TerraHome,72.26,111.29,1,2024-01-17,Yes
15,Garden Soil,Gardening Tools,Pruning,BloomCo,54.08,79.75,15,2022-09-10,No
16,Classic Hose,Soil and Fertilizer,Organic Soil,TerraHome,35.37,81.01,11,2020-10-19,No
17,Pure Soil,Gardening Tools,Pruning,GardenEase,38.8,69.54,4,2025-12-06,No
18,Garden Gloves,Soil and Fertilizer,Organic Soil,UrbanLeaf,66.02,138.72,11,2022-04-07,No
19,Fresh Trellis,Garden Accessories,Lighting,RootCraft,34.91,69.11,4,2024-08-13,No
20,Urban Compost,Pots and Planters,Ceramic Pots,BloomCo,19.85,42.76,12,2025-01-18,No
21,Wild Ivy,Indoor Plants,Succulents,RootCraft,98.83,192.27,13,2025-10-24,Yes
22,Wild Shears,Garden Accessories,Decor,PurePlant,60.26,109.95,5,2021-11-09,No
23,Wild Pothos,Indoor Plants,Low Light,BloomCo,72.43,114.76,6,2023-09-03,No
24,Eco Gloves,Soil and Fertilizer,Mulch,RootCraft,34.94,58.73,8,2024-01-07,No
25,Sunny Calathea,Outdoor Plants,Shrubs,BloomCo,32.29,43.78,6,2022-07-14,No
26,Pure Jade,Indoor Plants,Low Light,GardenEase,6.54,11.03,11,2024-12-06,No
27,Soft Calathea,Outdoor Plants,Herbs,BloomCo,46.46,63.98,11,2024-03-15,No
28,Wild Soil,Gardening Tools,Hand Tools,TerraHome,28.99,64.64,5,2024-05-03,No
29,Fresh Palm,Indoor Plants,Succulents,PurePlant,76.34,175.55,4,2018-10-05,No
30,Eco Bamboo,Indoor Plants,Air Purifying,TerraHome,71.07,150.45,3,2019-03-10,No
31,Soft Hydrangea,Outdoor Plants,Flowers,RootCraft,75.49,116.88,10,2021-02-23,No
32,Pure Mulch,Garden Accessories,Trellis,PurePlant,8.31,16.6,1,2024-08-04,No
33,Wild Rake,Pots and Planters,Decorative Planters,BloomCo,36.53,76.12,11,2022-10-18,No
34,Terra Soil,Pots and Planters,Decorative Planters,TerraHome,68.58,149.55,2,2022-08-08,No
35,Garden Succulent,Indoor Plants,Tropical,GardenEase,50.68,86.4,5,2023-05-20,No
36,Eco Pothos,Indoor Plants,Succulents,BloomCo,26.98,47.39,9,2021-12-16,No
37,Fresh Pot,Pots and Planters,Decorative Planters,PurePlant,20.06,40.96,5,2023-08-18,No
38,Leafy Bamboo,Outdoor Plants,Shrubs,UrbanLeaf,23.86,38.21,2,2021-06-04,No
39,Bright Lavender,Indoor Plants,Tropical,UrbanLeaf,73.49,170.98,9,2022-02-07,No
40,Classic Planter,Gardening Tools,Hand Tools,GardenEase,6.5,9.13,5,2020-11-25,No
41,Bright Trellis,Gardening Tools,Hand Tools,GardenEase,29.23,67.68,5,2025-02-03,No
42,Green Rake,Soil and Fertilizer,Mulch,GardenEase,14.49,27.72,5,2019-04-04,No
43,Bloom Ivy,Outdoor Plants,Flowers,RootCraft,32.29,72.93,5,2024-05-19,No
44,Eco Lavender,Indoor Plants,Succulents,TerraHome,67.32,101.46,3,2019-03-01,No
45,Root Basil,Indoor Plants,Low Light,BloomCo,71.41,128.83,11,2021-05-21,No
46,Bloom Ficus,Indoor Plants,Tropical,BloomCo,91.18,198.47,2,2018-03-10,No
47,Root Hydrangea,Indoor Plants,Succulents,PurePlant,94.48,174.83,8,2025-02-20,No
48,Terra Trowel,Gardening Tools,Watering,BloomCo,10.03,23.19,14,2018-11-09,No
49,Wild Lavender,Outdoor Plants,Herbs,TerraHome,16.97,32.84,11,2025-02-16,No
50,Premium Soil,Soil and Fertilizer,Plant Food,TerraHome,34.7,64.04,11,2024-09-02,No
51,Soft Stand,Gardening Tools,Pruning,GardenEase,66.52,89.88,14,2025-07-02,No
52,Wild Pruner,Pots and Planters,Ceramic Pots,PurePlant,18.67,35.46,15,2022-08-23,No
53,Bloom Succulent,Outdoor Plants,Flowers,PurePlant,26.93,36.72,7,2019-04-04,No
54,Bright Pot,Pots and Planters,Hanging Baskets,BloomCo,42.18,68.48,14,2025-08-08,No
55,Classic Pothos,Indoor Plants,Tropical,PurePlant,30.34,64.93,7,2023-09-09,No
56,Bright Rake,Gardening Tools,Watering,GardenEase,37.38,68.57,6,2024-08-11,No
57,Pure Pruner,Gardening Tools,Watering,BloomCo,27.5,50.13,15,2024-07-22,No
58,Classic Stand,Garden Accessories,Lighting,PurePlant,77.33,130.07,2,2025-02-17,Yes
59,Garden Peperomia,Indoor Plants,Tropical,PurePlant,70.42,140.83,14,2023-11-18,No
60,Bright Basket,Soil and Fertilizer,Organic Soil,RootCraft,5.76,8.17,11,2022-04-24,No
61,Urban Trellis,Soil and Fertilizer,Plant Food,BloomCo,15.81,26.08,1,2018-06-02,No
62,Pure Calathea,Indoor Plants,Low Light,BloomCo,69.37,106.14,3,2019-10-13,No
63,Classic Nozzle,Garden Accessories,Stands,GreenRoots,38.51,61.77,5,2018-08-10,No
64,Leafy Pot,Gardening Tools,Protective Gear,GreenRoots,52.2,92.62,5,2025-05-07,Yes
65,Leafy Calathea,Indoor Plants,Air Purifying,GardenEase,32.23,66.05,1,2024-05-01,No
66,Root Nozzle,Soil and Fertilizer,Compost,PurePlant,49.74,84.67,11,2021-10-09,No
67,Green Basil,Indoor Plants,Succulents,UrbanLeaf,79.65,110.18,6,2020-02-10,No
68,Leafy Ivy,Indoor Plants,Tropical,RootCraft,52.05,84.45,3,2022-08-10,No
69,Bloom Hydrangea,Indoor Plants,Air Purifying,BloomCo,96.85,208.67,6,2019-07-01,No
