CompetitorID,CompetitorName,State,City,DistanceMiles,StoreSize,AnnualRevenueEstimate
1,Nursery Lane Shop,Florida,Miami,13.4,Medium,1473219.28
2,Green Spot Center,Illinois,Chicago,8.6,Medium,4104896.26
3,Garden World Center,Washington,Spokane,12.4,Small,3374963.81
4,Home Garden Center,Illinois,Chicago,1.4,Small,5089825.36
5,Leaf Depot Center,Washington,Spokane,6.4,Small,4816379.2
6,Home Garden Co,New York,Albany,9.6,Big Box,534171.73
7,Nursery Lane Market,Colorado,Denver,5.0,Medium,1054286.78
8,Leaf Depot Co,Arizona,Tucson,3.5,Large,4378433.57
9,Nursery Lane Co,Florida,Miami,7.2,Small,3127800.13
10,Urban Jungle Center,Illinois,Chicago,11.7,Medium,4250672.83
11,Urban Jungle Center,Georgia,Atlanta,9.9,Medium,3196129.95
12,Garden World Co,Colorado,Denver,4.1,Big Box,1947911.12
13,Plant Barn Center,Nevada,Las Vegas,6.5,Large,1250071.14
14,Leaf Depot Shop,Washington,Seattle,2.7,Large,3485160.22
15,Urban Jungle Co,Georgia,Atlanta,13.9,Medium,1298347.37
16,Leaf Depot Co,Washington,Seattle,1.9,Small,1526003.63
17,Leaf Depot Shop,Nevada,Las Vegas,0.4,Small,1851869.76
18,Nursery Lane Market,Georgia,Atlanta,11.2,Medium,1319957.1
19,Green Spot Center,Colorado,Boulder,9.4,Medium,3899123.5
20,Green Spot Co,California,Sacramento,4.0,Small,1741071.09
21,Plant Barn Center,Nevada,Reno,9.9,Small,599638.41
22,Leaf Depot Co,Illinois,Naperville,0.5,Big Box,1463635.26
23,Nursery Lane Center,Arizona,Phoenix,13.0,Small,1228691.28
24,Green Spot Co,Colorado,Boulder,0.8,Large,2001240.58
25,Plant Barn Shop,Arizona,Phoenix,10.3,Large,3532462.59
26,Nursery Lane Co,New York,Albany,9.5,Big Box,4924610.95
27,Nursery Lane Market,California,San Jose,2.4,Big Box,3698891.73
28,Green Spot Market,Texas,San Antonio,6.4,Medium,2488941.23
29,Urban Jungle Market,Illinois,Naperville,3.3,Medium,3300411.18
30,Nursery Lane Market,New York,New York City,6.6,Medium,3695216.7
31,Nursery Lane Co,Nevada,Las Vegas,8.4,Small,1216709.88
32,Plant Barn Shop,Florida,Tampa,13.2,Big Box,5296279.98
33,Home Garden Shop,Illinois,Naperville,2.4,Medium,810550.02
34,Leaf Depot Shop,Florida,Miami,9.2,Medium,3380893.64
35,Plant Barn Shop,New York,Albany,1.4,Big Box,953954.79
36,Home Garden Shop,Nevada,Reno,2.9,Big Box,2830089.38
37,Garden World Market,Florida,Miami,0.7,Small,5108534.19
38,Home Garden Market,Arizona,Phoenix,11.4,Small,1179660.56
39,Home Garden Shop,Georgia,Savannah,13.0,Medium,2494667.34
40,Home Garden Center,California,San Jose,10.9,Big Box,3460400.59
41,Green Spot Co,Nevada,Las Vegas,6.9,Small,4858344.68
42,Green Spot Center,New York,Albany,14.8,Small,3177929.99
43,Garden World Shop,Colorado,Denver,6.7,Large,4311804.32
44,Garden World Center,Illinois,Naperville,4.6,Small,3872253.03
45,Leaf Depot Center,Florida,Orlando,1.5,Small,1193799.81
46,Urban Jungle Center,Nevada,Las Vegas,5.0,Small,1189112.54
47,Urban Jungle Co,Nevada,Las Vegas,3.9,Medium,4021467.28
48,Plant Barn Center,Texas,Houston,9.6,Small,3000040.86
49,Urban Jungle Center,Arizona,Phoenix,0.8,Medium,5039327.09
50,Garden World Market,Nevada,Las Vegas,2.8,Small,2452803.88
51,Nursery Lane Market,Illinois,Naperville,1.9,Medium,5292277.87
52,Leaf Depot Shop,California,San Jose,0.4,Big Box,4740908.05
53,Green Spot Center,Colorado,Denver,3.7,Big Box,2632127.04
54,Green Spot Co,Georgia,Atlanta,3.8,Large,3503771.7
55,Plant Barn Market,Colorado,Denver,2.4,Large,442785.52
56,Leaf Depot Shop,California,San Jose,5.1,Small,507414.65
57,Garden World Shop,Arizona,Phoenix,9.2,Medium,5323039.64
58,Plant Barn Co,Nevada,Reno,11.6,Large,2184989.48
59,Leaf Depot Center,Arizona,Phoenix,12.7,Small,1787371.75
60,Home Garden Shop,Florida,Miami,5.1,Big Box,3004392.6
61,Plant Barn Co,New York,Albany,8.7,Small,2789230.66
62,Urban Jungle Shop,Nevada,Reno,4.0,Large,5117303.18
63,Green Spot Center,Nevada,Reno,7.5,Medium,4889234.33
64,Nursery Lane Market,New York,Albany,0.2,Small,2690649.58
65,Leaf Depot Center,Texas,Dallas,6.3,Large,2085662.73
66,Home Garden Market,New York,New York City,10.4,Large,4398526.39
67,Green Spot Shop,Illinois,Naperville,11.6,Small,3850637.89
68,Home Garden Co,Washington,Spokane,12.5,Medium,1985202.87
